2021.07.29,261500,,,,,
2021.07.28,261500,,,,,
2021.07.27,263500,,,,,
2021.07.26,264000,,,,,
2021.07.23,268500,,,,,
2021.07.22,269500,,,,,
2021.07.21,267500,,,,,
2021.07.20,273000,,,,,
2021.07.19,263000,,,,,
2021.07.16,269000,,,,,
2021.07.15,266500,,,,,
2021.07.14,261000,,,,,
2021.07.13,263000,,,,,
2021.07.12,262500,,,,,
2021.07.09,262000,,,,,
2021.07.08,266000,,,,,
2021.07.07,266500,,,,,
2021.07.06,267000,,,,,
2021.07.05,273000,,,,,
2021.07.02,266000,,,,,
2021.07.01,267500,,,,,
2021.06.30,268500,,,,,
2021.06.29,265000,,,,,
2021.06.28,266000,,,,,
2021.06.25,265500,,,,,
2021.06.24,278500,,,,,
2021.06.23,281500,,,,,
2021.06.22,274000,,,,,
2021.06.21,280500,,,,,
2021.06.18,270000,,,,,
2021.06.17,269000,,,,,
2021.06.16,271500,,,,,
2021.06.15,275000,,,,,
2021.06.14,281000,,,,,
2021.06.11,265500,,,,,
2021.06.10,265500,,,,,
2021.06.09,261500,,,,,
2021.06.08,269000,,,,,
2021.06.07,264500,,,,,
2021.06.04,267000,,,,,
2021.06.03,266500,,,,,
2021.06.02,266500,,,,,
2021.06.01,272500,,,,,
2021.05.31,274500,,,,,
2021.05.28,273500,,,,,
2021.05.27,269000,,,,,
2021.05.26,270500,,,,,
2021.05.25,272000,,,,,
2021.05.24,262000,,,,,
2021.05.21,268500,,,,,
2021.05.20,270000,,,,,
2021.05.18,272000,,,,,
2021.05.17,269500,,,,,
2021.05.14,270500,,,,,
2021.05.13,265000,,,,,
2021.05.12,262500,,,,,
2021.05.11,270500,,,,,
2021.05.10,275000,,,,,
2021.05.07,266500,,,,,
2021.05.06,252500,,,,,
2021.05.04,260000,,,,,
2021.05.03,249500,,,,,
2021.04.30,266000,,,,,
2021.04.29,268500,,,,,
2021.04.28,270000,,,,,
2021.04.27,274000,,,,,
2021.04.26,285000,,,,,
2021.04.23,288000,,,,,
2021.04.22,288000,,,,,
2021.04.21,290500,,,,,
2021.04.20,300000,,,,,
2021.04.19,309500,,,,,
2021.04.16,308000,,,,,
2021.04.15,309500,,,,,
2021.04.14,315000,,,,,
2021.04.13,316000,,,,,
2021.04.12,310500,,,,,
2021.04.09,309500,,,,,
2021.04.08,311500,,,,,
2021.04.07,306000,,,,,
2021.04.06,303500,,,,,
2021.04.05,308000,,,,,
2021.04.02,320500,,,,,
2021.04.01,324500,,,,,
2021.03.31,324500,,,,,
2021.03.30,323500,,,,,
2021.03.29,330500,,,,,
2021.03.26,314000,,,,,
2021.03.25,307500,,,,,
2021.03.24,300000,,,,,
2021.03.23,292500,,,,,
2021.03.22,289000,,,,,
2021.03.19,287000,,,,,
2021.03.18,292000,,,,,
2021.03.17,293500,,,,,
2021.03.16,296500,,,,,
2021.03.15,289000,,,,,
2021.03.12,297000,,,,,
2021.03.11,293000,,,,,
2021.03.10,285500,,,,,
2021.03.09,287500,,,,,
2021.03.08,291000,,,,,
2021.03.05,301500,,,,,
2021.03.04,306500,,,,,
2021.03.03,303000,,,,,
2021.03.02,291500,,,,,
2021.02.26,297500,,,,,
2021.02.25,308000,,,,,
2021.02.24,282000,,,,,
2021.02.23,296000,,,,,
2021.02.22,309500,,,,,
2021.02.19,318500,,,,,
2021.02.18,314500,,,,,
2021.02.17,321500,,,,,
2021.02.16,325000,,,,,
2021.02.15,333000,,,,,
2021.02.10,332000,,,,,
2021.02.09,328000,,,,,
2021.02.08,336000,,,,,
2021.02.05,341500,,,,,
2021.02.04,341500,,,,,
2021.02.03,347500,,,,,
2021.02.02,355500,,,,,
2021.02.01,371000,,,,,
2021.01.29,324000,,,,,
2021.01.28,334500,,,,,
2021.01.27,329000,,,,,
2021.01.26,322500,,,,,
2021.01.25,321000,,,,,
2021.01.22,310000,,,,,
2021.01.21,312000,,,,,
2021.01.20,311000,,,,,
2021.01.19,312500,,,,,
2021.01.18,314000,,,,,
2021.01.15,329000,,,,,
2021.01.14,352500,,,,,
2021.01.13,381500,,,,,
2021.01.12,384000,,,,,
2021.01.11,374000,,,,,
2021.01.08,367000,,,,,
2021.01.07,357500,,,,,
2021.01.06,353500,,,,,
2021.01.05,354500,,,,,
2021.01.04,347500,,,,,
2020.12.30,359000,,,,,
2020.12.29,360500,,,,,
2020.12.28,333500,,,,,
2020.12.24,347500,,,,,
2020.12.23,355000,,,,,
2020.12.22,359000,,,,,
2020.12.21,367000,,,,,
2020.12.18,356000,,,,,
2020.12.17,351500,,,,,
2020.12.16,353500,,,,,
2020.12.15,360000,,,,,
2020.12.14,357500,,,,,
2020.12.11,361000,,,,,
2020.12.10,360000,,,,,
2020.12.09,353500,,,,,
2020.12.08,350000,,,,,
2020.12.07,403500,,,,,
2020.12.04,380000,,,,,
2020.12.03,351000,,,,,
2020.12.02,347000,,,,,
2020.12.01,344000,,,,,
2020.11.30,340000,,,,,
2020.11.27,334000,,,,,
2020.11.26,329500,,,,,
2020.11.25,330000,,,,,
2020.11.24,301500,,,,,
2020.11.23,301000,,,,,
2020.11.20,296500,,,,,
2020.11.19,294000,,,,,
2020.11.18,291000,,,,,
2020.11.17,286000,,,,,
2020.11.16,288500,,,,,
2020.11.13,290000,,,,,
2020.11.12,292000,,,,,
2020.11.11,296500,,,,,
2020.11.10,276500,,,,,
2020.11.09,285000,,,,,
2020.11.06,277500,,,,,
2020.11.05,272000,,,,,
2020.11.04,270500,,,,,
2020.11.03,259000,,,,,
2020.11.02,244500,,,,,
2020.10.30,241000,,,,,
2020.10.29,253000,,,,,
2020.10.28,242500,,,,,
2020.10.27,239000,,,,,
2020.10.26,238000,,,,,
2020.10.23,238000,,,,,
2020.10.22,237500,,,,,
2020.10.21,244000,,,,,
2020.10.20,245500,,,,,
2020.10.19,255500,,,,,
2020.10.16,256500,,,,,
2020.10.15,255000,,,,,
2020.10.14,262000,,,,,
2020.10.13,270500,,,,,
2020.10.12,273500,,,,,
2020.10.08,262000,,,,,
2020.10.07,260500,,,,,
2020.10.06,258000,,,,,
2020.10.05,254500,,,,,
2020.09.29,257500,,,,,
2020.09.28,255000,,,,,
2020.09.25,258500,,,,,
2020.09.24,250000,,,,,
2020.09.23,266000,,,,,
2020.09.22,268000,,,,,
2020.09.21,278500,,,,,
2020.09.18,291500,,,,,
2020.09.17,291500,,,,,
2020.09.16,297000,,,,,
2020.09.15,296000,,,,,
2020.09.14,296000,,,,,
2020.09.11,298500,,,,,
2020.09.10,298500,,,,,
