강남구,논현동,청학,185000,260000,222500,70, 3,87.15,99.65,93.4,16
강남구,논현동,케이씨빌,160000,160000,160000,12, 1,111.5,123.51,117.505,10
강남구,논현동,토미빌(228-9),185000,250000,217500,24, 3,155.16,161.26,158.20999999999998,10
강남구,논현동,학동참진,150000,150000,150000,18, 1,86.75,125.41,106.08,10
강남구,논현동,한양빌라트,180000,180000,180000,19, 1,115.34,179.68,147.51,20
강남구,논현동,한양수자인어반게이트(도시형),21200,25500,23350,108, 1,23.42,29.92,26.67,9
강남구,논현동,현대인텔렉스(주상복합),230000,900000,565000,42, 1,168.76,254.22,211.49,6
강남구,대치동,개포우성1차,320000,510000,415000,690, 9,102.48,214.88,158.68,1
강남구,대치동,개포우성2차,310000,500000,405000,450, 5,101.09,180.54,140.815,6
강남구,대치동,대치SK뷰,330000,350000,340000,239, 4,80.38,166.84,123.61,10
강남구,대치동,대치대우아이빌멤버스4차(주상복합),38000,54000,46000,134, 1,31.9,68.74,50.31999999999999,9
강남구,대치동,대치대우아이빌명문가(주상복합),31000,34500,32750,210, 1,41.88,66.93,54.405,10
강남구,대치동,대치롯데캐슬리베,370000,400000,385000,144, 2,146.32,146.32,146.32,5
강남구,대치동,대치삼성1차,200000,330000,265000,960, 14,85.68,139.27,112.47500000000001,11
강남구,대치동,대치삼성3차,300000,350000,325000,35, 2,99.97,240.86,170.41500000000002,14
강남구,대치동,대치쌍용1차,280000,350000,315000,630, 5,102.36,173.48,137.92,14
강남구,대치동,대치쌍용2차,265000,370000,317500,364, 4,102.47,141.71,122.09,13
강남구,대치동,대치아이파크,220000,500000,360000,768, 11,78.71,179.41,129.06,2
강남구,대치동,대치우성1차,267000,330000,298500,476, 6,102.01,133.98,117.995,9
강남구,대치동,대치우정에쉐르1(주상복합),99000,120000,109500,80, 1,67.95,91.28,79.61500000000001,9
강남구,대치동,대치우정에쉐르2(주상복합),128000,130000,129000,18, 1,72.18,82.58,77.38,9
강남구,대치동,대치주성,250000,250000,250000,14, 1,73.97,136.31,105.14,7
강남구,대치동,대치타워,95000,115000,105000,10, 1,77.28,105,91.14,6
강남구,대치동,대치풍림아이원1차,210000,210000,210000,57, 3,91.49,167.94,129.715,5
강남구,대치동,대치풍림아이원2차,250000,250000,250000,33, 2,106.37,170.3,138.335,4
강남구,대치동,대치풍림아이원3차,250000,255000,252500,42, 1,134.72,139.43,137.075,6
강남구,대치동,대치풍림아이원4차,240000,250000,245000,33, 1,134.54,139.23,136.885,7
강남구,대치동,대치하나빌,280000,280000,280000,12, 1,163.48,225.69,194.58499999999998,14
강남구,대치동,대치한신휴플러스,195000,195000,195000,66, 1,85.9,105.97,95.935,6
강남구,대치동,대치현대,185000,290000,237500,630, 8,88.68,143.66,116.17,7
강남구,대치동,대치효성,220000,220000,220000,83, 1,78.99,112.12,95.555,10
강남구,대치동,동부센트레빌,505000,540000,522500,805, 7,152.54,202.99,177.765,2
강남구,대치동,래미안대치팰리스1단지,340000,510000,425000,1278, 13,88,150.66,119.33,7
강남구,대치동,래미안대치팰리스2단지,335000,580000,457500,330, 4,118.76,183.59,151.175,8
강남구,대치동,래미안대치하이스턴,300000,300000,300000,354, 5,142.54,142.62,142.57999999999998,4
강남구,대치동,로프트아파트먼트대치(도시형),115000,115000,115000,16, 1,43.29,56.53,49.91,6
강남구,대치동,삼환SOGOOD(주상복합),220000,220000,220000,37, 1,107.38,133.52,120.45,4
강남구,대치동,선경1/2차,300000,500000,400000,1034, 12,101.66,186.36,144.01,1
강남구,대치동,선릉역대우아이빌5차(주상복합),18000,28000,23000,150, 1,27.45,58.95,43.2,10
강남구,대치동,선릉역풍림아이원레몬(주상복합),170000,170000,170000,44, 1,84.27,92.62,88.445,9
강남구,대치동,아름빌,30000,115000,72500,43, 1,45.97,105.58,75.775,9
강남구,대치동,아크로빌,180000,180000,180000,14, 2,61.53,112.33,86.93,17
강남구,대치동,은마,240000,285000,262500,4424, 28,101.52,115.54,108.53,3
강남구,대치동,테헤란로대우아이빌(주상복합),34000,90000,62000,371, 1,38.72,89.17,63.945,12
강남구,대치동,포스코더샵,330000,400000,365000,276, 4,168.38,208.98,188.68,9
강남구,대치동,하이캐슬,220000,230000,225000,67, 2,104.13,191.61,147.87,7
강남구,대치동,한보미도맨션1/2차,300000,490000,395000,2436, 21,113.31,220.92,167.115,2
강남구,대치동,한보미도맨션3차,395000,395000,395000,18, 1,220.11,220.11,220.11,9
강남구,대치동,현대,210000,210000,210000,120, 1,101.03,101.7,101.36500000000001,9
강남구,대치동,현대썬앤빌테헤란(도시형),56000,71000,63500,49, 1,54.56,82.49,68.525,10
강남구,대치동,화인하이빌,290000,290000,290000,18, 1,61.24,147.52,104.38000000000001,8
강남구,도곡동,개포럭키,350000,350000,350000,128, 2,102.41,102.41,102.41,18
강남구,도곡동,개포우성4차,310000,400000,355000,459, 8,113.23,180.25,146.74,9
