지역구,지역동,아파트명,최저 시세,최고 시세,세대 수,동 수,최소 전용면적,최대 전용면적,초등학교까지의 거리
강남구,논현동,논현한화꿈에그린,135000,150000,70,2,89.17,89.17,7
강남구,논현동,논현한화꿈에그린2차,140000,230000,46,1,104.67,147.31,7
강남구,논현동,논현힐스빌5차,,,7,1,248.68,248.68,
강남구,논현동,논현힐스빌6차,340000,340000,4,1,228.44,231.14,12
강남구,논현동,더그레이스,,,9,1,106.35,112.89,10
강남구,논현동,더원센트럴(주상복합),52000,52000,29,1,34.3,66.05,10
강남구,논현동,더케이(도시형),,,16,1,20.49,36.77,12
강남구,논현동,더클래식논현(도시형),,,14,2,33.26,100.23,12
강남구,논현동,동광팰리스(도시형),47000,50000,38,2,29.26,45.5,11
강남구,논현동,동현,245000,300000,548,6,102.47,175.38,13
강남구,논현동,동화(민간임대/도시형),,,236,1,32.23,72.28,6
강남구,논현동,두영,110000,110000,17,1,94.52,97.81,12
강남구,논현동,라디안,,,10,1,77.7,129.86,15
강남구,논현동,라이헤스빌,,,13,1,74.6,118.81,13
강남구,논현동,로체샤르캐슬,145000,145000,17,1,99.4,125.69,11
강남구,논현동,루시아도산208(도시형),,,55,1,57.63,60.66,10
강남구,논현동,리더스빌,,,19,1,81.25,206.56,8
강남구,논현동,리츠하우스,730000,730000,12,1,300.31,300.41,12
강남구,논현동,마블하우스,,,12,1,153.02,183.84,4
강남구,논현동,마일스디오빌(주상복합),38000,45000,260,1,47.19,47.19,11
강남구,논현동,벨러스빌,,,10,1,95.83,178.31,11
강남구,논현동,보노체아(도시형),,,22,1,17.86,27.8,7
강남구,논현동,비쥬힐,112000,112000,10,1,87.53,141.26,13
강남구,논현동,삼성빌라트,,,19,1,121.01,172.68,19
강남구,논현동,세호시티라이프(주상복합),,,19,1,55.96,79.85,4
강남구,논현동,스위트캐슬,,,16,2,270.21,270.62,16
강남구,논현동,스위트케슬레지던스,250000,250000,17,1,122.16,241.39,11
강남구,논현동,신동아,,,12,2,226.56,262.29,9
강남구,논현동,쌍용,125000,160000,111,1,83.17,117.82,11
강남구,논현동,아나하(도시형),225000,240000,16,1,36.48,116.57,7
강남구,논현동,아츠논현(도시형),149970,253880,24,1,49.6,66.3,6
강남구,논현동,아크로힐스논현,244000,330000,368,4,109.73,148.25,4
강남구,논현동,알파임하우스Ⅱ,600000,600000,16,2,257.91,257.91,11
강남구,논현동,애플타운(주상복합),,,19,1,36.76,247.91,16
강남구,논현동,예원베스트빌,,,8,1,109.38,126.08,8
강남구,논현동,요진보네르,,,9,1,102.11,186.88,12
강남구,논현동,우림빌(도시형),,,19,1,16.36,26.71,4
강남구,논현동,우림스타빌(도시형),,,19,1,26.3,52.75,2
강남구,논현동,우민,125000,140000,70,1,99.54,105.8,11
강남구,논현동,우성,120000,120000,14,1,81.56,122.78,3
강남구,논현동,월드노블레스빌,240000,240000,12,1,142.17,195.72,12
강남구,논현동,월드쉐르빌,,,15,1,49.8,99.48,3
강남구,논현동,은탑리더스카운티,,,18,1,77,182.69,10
강남구,논현동,이산,75000,78000,10,1,55.18,76.95,8
강남구,논현동,이움,200000,200000,10,1,111.35,142.98,9
강남구,논현동,제이빌,95000,100000,32,1,43.08,113.06,12
강남구,논현동,지고하임,140000,140000,33,2,71.86,91.74,11
강남구,논현동,청학,185000,260000,70,3,87.15,99.65,16
강남구,논현동,케럿스테이트,,,16,1,103.64,193.94,4
강남구,논현동,케이씨빌,160000,160000,12,1,111.5,123.51,10
강남구,논현동,테크노빌라트,,,18,1,57.57,114.3,1
강남구,논현동,토미빌(228-9),185000,250000,24,3,155.16,161.26,10
강남구,논현동,펜트힐루논현(도시형),105000,170000,131,1,61.41,63.06,
강남구,논현동,프라임(196-4),,,19,1,135.45,270.9,5
강남구,논현동,프라임(80-13),,,28,1,93.51,124.68,20
강남구,논현동,학동참진,150000,150000,18,1,86.75,125.41,10
강남구,논현동,한양빌라트,180000,180000,19,1,115.34,179.68,20
강남구,논현동,한양수자인어반게이트(도시형),21200,25500,108,1,23.42,29.92,9
강남구,논현동,현대넥서스(261-7),,,18,1,128.29,254.09,5
강남구,논현동,현대넥서스(261-8),,,16,1,161.35,264.58,4
강남구,논현동,현대인텔렉스(주상복합),230000,900000,42,1,168.76,254.22,6
강남구,논현동,휴먼스페이스(주상복합),,,18,1,48.95,49.49,11
강남구,논현동,힐스빌7차,,,9,1,138.67,171.75,12
강남구,논현동,힐타워,,,16,1,93.47,187.15,10
강남구,논현동,힐튼빌(도시형),,,14,1,35.03,104.27,2
강남구,대치동,S-타워(주상복합),,,19,1,246.25,246.25,1
강남구,대치동,개포우성1차,320000,510000,690,9,102.48,214.88,1
강남구,대치동,개포우성2차,310000,500000,450,5,101.09,180.54,6
강남구,대치동,노빌리티빌리지,,,14,1,125.06,196.98,15
강남구,대치동,대치SK뷰,330000,350000,239,4,80.38,166.84,10
강남구,대치동,대치대우아이빌멤버스4차(주상복합),38000,54000,134,1,31.9,68.74,9
강남구,대치동,대치대우아이빌명문가(주상복합),31000,34500,210,1,41.88,66.93,10
강남구,대치동,대치더블유타워(도시형),,,149,1,33.22,52.72,4
강남구,대치동,대치롯데캐슬리베,370000,400000,144,2,146.32,146.32,5
강남구,대치동,대치삼성1차,200000,330000,960,14,85.68,139.27,11
강남구,대치동,대치삼성2차,,,19,1,188.75,188.75,16
강남구,대치동,대치삼성3차,300000,350000,35,2,99.97,240.86,14
강남구,대치동,대치상지리츠빌카일룸,,,15,1,225.33,268.23,9
강남구,대치동,대치쌍용1차,280000,350000,630,5,102.36,173.48,14
강남구,대치동,대치쌍용2차,265000,370000,364,4,102.47,141.71,13
강남구,대치동,대치아이파크,220000,500000,768,11,78.71,179.41,2
강남구,대치동,대치우성1차,267000,330000,476,6,102.01,133.98,9
강남구,대치동,대치우정에쉐르1(주상복합),99000,120000,80,1,67.95,91.28,9
강남구,대치동,대치우정에쉐르2(주상복합),128000,130000,18,1,72.18,82.58,9
강남구,대치동,대치주성,250000,250000,14,1,73.97,136.31,7
강남구,대치동,대치타워,95000,115000,10,1,77.28,105,6
강남구,대치동,대치푸르지오써밋,,,489,9,70.24,198.93,4
강남구,대치동,대치풍림아이원1차,210000,210000,57,3,91.49,167.94,5
강남구,대치동,대치풍림아이원2차,250000,250000,33,2,106.37,170.3,4
강남구,대치동,대치풍림아이원3차,250000,255000,42,1,134.72,139.43,6
강남구,대치동,대치풍림아이원4차,240000,250000,33,1,134.54,139.23,7
강남구,대치동,대치하나빌,280000,280000,12,1,163.48,225.69,14
강남구,대치동,대치한신휴플러스,195000,195000,66,1,85.9,105.97,6
강남구,대치동,대치현대,185000,290000,630,8,88.68,143.66,7
강남구,대치동,대치효성,220000,220000,83,1,78.99,112.12,10
강남구,대치동,더힐하우스(도시형),,,44,4,36.26,70.89,2
강남구,대치동,도성,,,10,1,91.79,131.56,6
강남구,대치동,동민맥스빌(A동/주상복합),,,30,1,107.48,109.26,2
강남구,대치동,동민맥스빌(B동),,,18,1,75.44,156.79,3
강남구,대치동,동부센트레빌,505000,540000,805,7,152.54,202.99,2
강남구,대치동,동양,,,19,1,110.57,186.81,2
강남구,대치동,래미안대치팰리스1단지,340000,510000,1278,13,88,150.66,7
강남구,대치동,래미안대치팰리스2단지,335000,580000,330,4,118.76,183.59,8
강남구,대치동,래미안대치하이스턴,300000,300000,354,5,142.54,142.62,4
강남구,대치동,로프트아파트먼트대치(도시형),115000,115000,16,1,43.29,56.53,6
강남구,대치동,롯데캐슬,,,142,3,110.72,176.16,11
강남구,대치동,르엘대치,230000,235000,273,6,75.59,158.56,
강남구,대치동,메트로,,,11,1,81.71,113.12,7
강남구,대치동,미소시티,,,18,1,164.77,200.9,7
강남구,대치동,삼환SOGOOD(주상복합),220000,220000,37,1,107.38,133.52,4
강남구,대치동,선경1/2차,300000,500000,1034,12,101.66,186.36,1
강남구,대치동,선경3차,,,54,1,85.48,85.48,7
강남구,대치동,선릉역대우아이빌5차(주상복합),18000,28000,150,1,27.45,58.95,10
강남구,대치동,선릉역풍림아이원레몬(주상복합),170000,170000,44,1,84.27,92.62,9
강남구,대치동,세연파크뷰,,,19,1,75.46,94.53,6
강남구,대치동,세영팔래스,,,67,1,73.77,103.37,6
강남구,대치동,스톤빌리지대치2차(도시형),,,25,2,38.99,69.77,2
강남구,대치동,스톤빌리지대치3차(도시형),,,22,2,35.47,62.45,3
강남구,대치동,스톤빌리지대치4차(도시형),,,20,2,39.1,71.47,1
강남구,대치동,아름빌,30000,115000,43,1,45.97,105.58,9
강남구,대치동,아크로빌,180000,180000,14,2,61.53,112.33,17
강남구,대치동,우정에쉐르3,,,19,1,103.62,154.02,9
강남구,대치동,월드빌,,,11,1,59,122.32,9
강남구,대치동,은마,240000,285000,4424,28,101.52,115.54,3
강남구,대치동,청암빌라트,,,18,1,144.05,179.57,8
강남구,대치동,청원,,,19,1,58.32,130.41,1
강남구,대치동,테헤란로대우아이빌(주상복합),34000,90000,371,1,38.72,89.17,12
강남구,대치동,포스코더샵,330000,400000,276,4,168.38,208.98,9
강남구,대치동,하이캐슬,220000,230000,67,2,104.13,191.61,7
강남구,대치동,한보미도맨션1/2차,300000,490000,2436,21,113.31,220.92,2
강남구,대치동,한보미도맨션3차,395000,395000,18,1,220.11,220.11,9
강남구,대치동,한양팰리스,,,14,1,111.2,120.97,7
강남구,대치동,한티,,,22,2,78.6,127.58,3
강남구,대치동,현대,210000,210000,120,1,101.03,101.7,9
강남구,대치동,현대썬앤빌테헤란(도시형),56000,71000,49,1,54.56,82.49,10
강남구,대치동,화인하이빌,290000,290000,18,1,61.24,147.52,8
강남구,도곡동,개포럭키,350000,350000,128,2,102.41,102.41,18
강남구,도곡동,개포우성4차,310000,400000,459,8,113.23,180.25,9
강남구,도곡동,개포우성5차,230000,230000,180,4,89.79,98.96,14
강남구,도곡동,개포한신,227000,300000,620,8,73.65,103.93,11
강남구,도곡동,경남,190000,270000,348,4,76.47,147.12,6
강남구,도곡동,그랜빌캐슬,220000,220000,15,1,105.32,166.79,17
강남구,도곡동,극동스타클래스(주상복합),200000,300000,96,1,141.4,258.38,3
강남구,도곡동,대림,195000,230000,197,2,102.39,104.47,3
강남구,도곡동,대림아크로빌(주상복합),280000,340000,490,2,56.9,230.18,12
강남구,도곡동,대명비발디,115000,128000,18,1,46.53,102.21,5
강남구,도곡동,대우양재디오빌(주상복합),24500,32000,155,1,32.11,43.76,5
강남구,도곡동,더힐(도시형),,,11,1,26.65,44.42,23
강남구,도곡동,도곡그린빌,95000,95000,19,1,63.77,127.4,1
강남구,도곡동,도곡렉슬,225000,590000,3002,34,86.43,225.29,2
강남구,도곡동,도곡루아르(도시형),96200,110000,29,1,64.32,66.68,8
강남구,도곡동,도곡삼성래미안,210000,415000,732,10,81.35,158.1,8
강남구,도곡동,도곡상지카일룸,,,23,1,255.19,275.56,12
강남구,도곡동,도곡스타빌,,,15,1,59.17,104.14,22
강남구,도곡동,도곡스테이77(도시형),,,77,1,31.15,44.58,
강남구,도곡동,도곡쌍용예가,225000,265000,384,5,83.52,232.86,1
강남구,도곡동,도곡아이파크1차,210000,310000,321,5,109.19,178.59,16
강남구,도곡동,도곡아이파크2차,320000,340000,58,2,175.89,232.37,4
강남구,도곡동,도곡아이파크3차,300000,310000,72,3,179.5,225.98,5
강남구,도곡동,도곡우성,225000,230000,390,2,93.94,101.17,2
강남구,도곡동,도곡월드메르디앙,,,29,2,118.58,208.38,12
강남구,도곡동,도곡조이너스,180000,180000,26,1,78.68,109.25,2
강남구,도곡동,도곡지웰카운티,220000,240000,37,2,125.8,148.53,10
강남구,도곡동,도곡푸르지오1차,,,17,1,185.04,208.44,6
강남구,도곡동,도곡푸르지오2차(주상복합),,,13,1,185.43,185.43,7
